,book_title,author,num_ratings,average_rating,5_star_reviews
179,A Good Girl's Guide to Murder,Holly  Jackson,1082853,4.33,543319
180,A Good Girl's Guide to Murder,Holly  Jackson,1082414,4.33,543111
181,The Sea of Monsters,Rick Riordan,1183446,4.24,541087
182,The Sea of Monsters,Rick Riordan,1183191,4.24,540971
183,Insurgent,Veronica Roth,1505348,3.97,538844
184,Anne of Green Gables,L.M. Montgomery,984888,4.31,536597
185,Crown of Midnight,Sarah J. Maas,1048564,4.36,535688
186,Crown of Midnight,Sarah J. Maas,1048041,4.36,535422
187,Heir of Fire,Sarah J. Maas,910035,4.46,533516
188,Heir of Fire,Sarah J. Maas,909748,4.46,533362
189,Iron Flame,Rebecca Yarros,1009214,4.35,532791
190,Frankenstein,Mary Wollstonecraft Shelley,1609504,3.87,519782
191,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,1609182,3.87,519649
192,The Secret Garden,Frances Hodgson Burnett,1177354,4.16,519358
193,"Eat, Pray, Love",Elizabeth Gilbert,1748708,3.63,518934
194,The Secret Life of Bees,Sue Monk Kidd,1294631,4.09,516289
195,Matilda,Roald Dahl,957443,4.34,515751
196,A Clash of Kings,George R.R. Martin,938977,4.42,510672
197,A Storm of Swords,George R.R. Martin,786952,4.54,505236
198,My Sister’s Keeper,Jodi Picoult,1221490,4.10,504884
199,The Invisible Life of Addie LaRue,V.E.  Schwab,1087572,4.19,504486
200,The Invisible Life of Addie LaRue,V.E.  Schwab,1087448,4.19,504427
201,The Invisible Life of Addie LaRue,V.E.  Schwab,1086821,4.19,504177
202,How to Win Friends and Influence People,Dale Carnegie,988503,4.22,501763
203,City of Glass,Cassandra Clare,964515,4.28,497037
204,Circe,Madeline Miller,1068330,4.24,495581
205,Circe,Madeline Miller,1067825,4.24,495384
206,November 9,Colleen Hoover,1094213,4.14,493193
207,The Count of Monte Cristo,Alexandre Dumas,917987,4.30,492080
208,Sense and Sensibility,Jane Austen,1194915,4.08,487961
209,Big Little Lies,Liane Moriarty,1011205,4.31,486329
210,Tuesdays with Morrie,Mitch Albom,1033961,4.17,483116
211,The Tattooist of Auschwitz,Heather   Morris,946104,4.30,483069
212,Empire of Storms,Sarah J. Maas,682336,4.62,482414
213,Empire of Storms,Sarah J. Maas,681416,4.62,481754
214,Empire of Storms,Sarah J. Maas,681219,4.62,481607
215,One Hundred Years of Solitude,Gabriel García Márquez,976523,4.11,480125
216,Dracula,Bram Stoker,1281618,4.01,479888
217,A Wrinkle in Time,Madeleine L'Engle,1206488,3.98,479811
218,It Starts with Us,Colleen Hoover,1472132,3.87,476330
219,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,889618,4.35,475989
220,Crime and Punishment,Fyodor Dostoevsky,910658,4.27,475706
221,El príncipe cruel,Holly Black,1241823,4.04,474441
222,The Cruel Prince,Holly Black,1241725,4.04,474404
223,The Cruel Prince,Holly Black,1240712,4.04,474080
224,The Princess Bride,William Goldman,902208,4.27,470965
225,The Lord of the Rings,J.R.R. Tolkien,679033,4.53,456514
226,The Lord of the Rings,J.R.R. Tolkien,678852,4.53,456379
227,The Great Alone,Kristin Hannah,799631,4.42,454097
228,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1484352,3.89,452347
229,Holes,Louis Sachar,1206872,4.00,449792
230,Clockwork Angel,Cassandra Clare,832799,4.31,449148
231,Green Eggs and Ham,Dr. Seuss,779112,4.31,446778
232,Heartstopper: Volume One,Alice Oseman,728939,4.47,445520
233,Heartstopper: Volume One,Alice Oseman,728738,4.47,445424
234,Heartstopper: Volume One,Alice Oseman,728526,4.47,445306
235,Eleanor & Park,Rainbow Rowell,1175752,3.94,442376
236,Crooked Kingdom,Leigh Bardugo,646217,4.59,438982
237,Crooked Kingdom,Leigh Bardugo,646158,4.59,438940
238,Crooked Kingdom,Leigh Bardugo,645918,4.59,438806
