genre,genre_id
"Nonfiction, History, Business, Economics, Politics, Technology, Sociology",165
"Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Childrens",166
"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School",167
"Classics, Fiction, Victorian, Literature, 19th Century, Historical Fiction, British Literature",168
"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Speculative Fiction, Space Opera, Audiobook",169
"Science Fiction, Fiction, Science Fiction Fantasy, Fantasy, Space Opera, Speculative Fiction, Audiobook",170
"Mystery, Fiction, Crime, Noir, Detective, Classics, Hard Boiled",171
"Mystery, Fiction, Crime, Noir, Classics, Detective, Mystery Thriller",172
"Mystery, Fiction, Classics, Crime, Noir, Detective, Mystery Thriller",173
"Philosophy, Nonfiction, Science, Atheism, Psychology, Evolution, Sociology",174
"Science, Philosophy, Nonfiction, Evolution, Biology, History, Psychology",175
"Philosophy, Nonfiction, Science, Evolution, Psychology, Biology, Neuroscience",176
"Philosophy, Nonfiction, Science, Psychology, Neuroscience, Essays, Artificial Intelligence",177
"Science, Nonfiction, Physics, History, Astronomy, Popular Science, Philosophy",178
"Science, Nonfiction, Physics, Astronomy, Popular Science, Space, Audiobook",179
"Fiction, Classics, Philosophy, Politics, Literature, Economics, Novels",180
"Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture",181
"Fiction, LGBT, Contemporary, Gay, Family, Literature, Literary Fiction",182
"Fiction, Chick Lit, Romance, Contemporary, Books About Books, Adult Fiction, Adult",183
"Fiction, Classics, Historical Fiction, Historical, Literature, Audiobook, 19th Century",184
"Nonfiction, Economics, Politics, History, Biography, Business, Memoir",185
"Classics, Fiction, Literature, Novels, School, American, Adventure",186
"Fiction, Classics, France, Literature, French Literature, Romance, 19th Century",187
"Classics, Fiction, France, French Literature, 19th Century, Literature, Novels",188
"Fiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Queer",189
"History, Nonfiction, Biography, Politics, American History, Civil War, Presidents",190
"History, Biography, Nonfiction, American History, Presidents, Politics, Historical",191
"Spirituality, Fiction, Philosophy, Self Help, Personal Development, Psychology, Inspirational",192
"Nonfiction, Sports, Memoir, Cycling, Autobiography, Biography, Biography Memoir",193
"History, Nonfiction, Presidents, Biography, American History, Politics, Biography Memoir",194
"Fiction, Classics, Southern Gothic, LGBT, Literature, Queer, Gothic",195
"Fiction, Historical Fiction, Africa, South Africa, Drama, Audiobook, Novels",196
"Fiction, Historical Fiction, Australia, Historical, Audiobook, Novels, Contemporary",197
"Fiction, Historical Fiction, Australia, Historical, Drama, Romance, Adult",198
"Historical Fiction, Fiction, Australia, Historical, Audiobook, Drama, Adventure",199
"History, Nonfiction, American History, New York, Biography, Engineering, Historical",200
"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Detective",201
"Fantasy, Fiction, Humor, Comedy, Witches, Science Fiction Fantasy, Magic",202
"Science Fiction, Fiction, Classics, Time Travel, Fantasy, Dystopia, Literature",203
"Science Fiction, Fiction, Classics, Fantasy, Horror, Science Fiction Fantasy, Audiobook",204
"Fiction, Historical Fiction, Mystery, Literature, Turkish, Novels, Turkish Literature",205
"Fiction, Dystopia, Science Fiction, Classics, Novels, Literature, Portugal",206
"Fiction, Portugal, Literature, Portuguese Literature, Novels, Nobel Prize, Magical Realism",207
"Fiction, Historical Fiction, Classics, Portugal, Portuguese Literature, Romance, Nobel Prize",208
"Fiction, Portugal, Literature, Novels, Portuguese Literature, Nobel Prize, Dystopia",209
