,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
6375,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,37044,3.84,10056,The Geography of Bliss: One Grump's Search for the Happiest Places in the World - Eric    Weiner
6376,A Fraction of the Whole,Steve Toltz,22385,4.14,10053,A Fraction of the Whole - Steve Toltz
6377,Dark Destiny,Christine Feehan,19080,4.32,10053,Dark Destiny - Christine Feehan
6378,The Woman Destroyed,Simone de Beauvoir,30806,4.03,10042,The Woman Destroyed - Simone de Beauvoir
6379,Reboot,Amy Tintera,33458,3.89,10036,Reboot - Amy Tintera
6380,Central Park,Guillaume Musso,30095,3.94,10028,Central Park - Guillaume Musso
6381,The Full Cupboard of Life,Alexander McCall Smith,33191,4.03,10020,The Full Cupboard of Life - Alexander McCall Smith
6382,The Book of Ivy,Amy Engel,24413,4.13,10018,The Book of Ivy - Amy Engel
6383,The Capture,Kathryn Lasky,28674,3.93,9999,The Capture - Kathryn Lasky
6384,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,Jenna Miscavige Hill,39179,3.77,9998,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape - Jenna Miscavige Hill
6385,The Irresistible Revolution: Living as an Ordinary Radical,Shane Claiborne,24368,4.03,9997,The Irresistible Revolution: Living as an Ordinary Radical - Shane Claiborne
6386,Eventide,Kent Haruf,24368,4.22,9989,Eventide - Kent Haruf
6387,Lady Smoke,Laura Sebastian,33894,3.97,9982,Lady Smoke - Laura Sebastian
6388,Manuscript Found in Accra,Paulo Coelho,30131,3.81,9974,Manuscript Found in Accra - Paulo Coelho
6389,The Rising,Kelley Armstrong,24598,4.12,9972,The Rising - Kelley Armstrong
6390,Dauntless,Jack Campbell,31835,3.96,9962,Dauntless - Jack Campbell
6391,Follow the River,James Alexander Thom,21380,4.23,9962,Follow the River - James Alexander Thom
6392,Kingdom of the Wicked,Derek Landy,16616,4.47,9958,Kingdom of the Wicked - Derek Landy
6393,And to Think That I Saw It on Mulberry Street,Dr. Seuss,24951,3.99,9952,And to Think That I Saw It on Mulberry Street - Dr. Seuss
6394,Wise Blood,Flannery O'Connor,33562,3.83,9952,Wise Blood - Flannery O'Connor
6395,Deeper Than the Dead,Tami Hoag,27722,4.10,9946,Deeper Than the Dead - Tami Hoag
6396,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,63856,3.11,9941,"Revolution 2020: Love, Corruption, Ambition - Chetan Bhagat"
6397,Ain't She Sweet?,Susan Elizabeth Phillips,25105,4.08,9939,Ain't She Sweet? - Susan Elizabeth Phillips
6398,Magic's Promise,Mercedes Lackey,21281,4.22,9939,Magic's Promise - Mercedes Lackey
6399,Waiting for the Barbarians,J.M. Coetzee,32296,3.93,9937,Waiting for the Barbarians - J.M. Coetzee
6400,The Complete Essays,Michel de Montaigne,20393,4.23,9937,The Complete Essays - Michel de Montaigne
6401,Unspoken,Sarah Rees Brennan,31880,3.82,9927,Unspoken - Sarah Rees Brennan
6402,Think of a Number,John Verdon,35138,3.88,9919,Think of a Number - John Verdon
6403,Winger,Andrew  Smith,22789,4.04,9914,Winger - Andrew  Smith
6404,Forest Born,Shannon Hale,27501,4.04,9910,Forest Born - Shannon Hale
6405,Kushiel's Scion,Jacqueline Carey,21888,4.22,9908,Kushiel's Scion - Jacqueline Carey
6406,Wild Fire,Nelson DeMille,28856,4.05,9902,Wild Fire - Nelson DeMille
6407,The Strange Library,Haruki Murakami,61811,3.55,9889,The Strange Library - Haruki Murakami
6408,Eaters of the Dead,Michael Crichton,42519,3.70,9878,Eaters of the Dead - Michael Crichton
6409,El llano en llamas,Juan Rulfo,21581,4.20,9878,El llano en llamas - Juan Rulfo
6410,Teacher Man,Frank McCourt,38571,3.75,9866,Teacher Man - Frank McCourt
6411,Embassytown,China Miéville,32097,3.90,9864,Embassytown - China Miéville
6412,"Yu Yu Hakusho, Vol. 1",Yoshihiro Togashi,17621,4.32,9862,"Yu Yu Hakusho, Vol. 1 - Yoshihiro Togashi"
6413,The Memory Keeper of Kyiv,Erin Litteken,16774,4.46,9848,The Memory Keeper of Kyiv - Erin Litteken
6414,The Hydrogen Sonata,Iain M. Banks,23714,4.20,9842,The Hydrogen Sonata - Iain M. Banks
6415,Heaven,V.C. Andrews,24644,4.04,9840,Heaven - V.C. Andrews
6416,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,Neil Shubin,26400,4.03,9839,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body - Neil Shubin
6417,Ain't I a Woman: Black Women and Feminism,bell hooks,16398,4.50,9837,Ain't I a Woman: Black Women and Feminism - bell hooks
6418,Straight Man,Richard Russo,28846,4.01,9833,Straight Man - Richard Russo
6419,The Clown,Heinrich Böll,29015,3.94,9828,The Clown - Heinrich Böll
6420,Daimon,Jennifer L. Armentrout,26155,4.03,9827,Daimon - Jennifer L. Armentrout
6421,The Late Mattia Pascal,Luigi Pirandello,29742,4.01,9825,The Late Mattia Pascal - Luigi Pirandello
6422,Waylander,David Gemmell,20308,4.29,9824,Waylander - David Gemmell
6423,The Wheel of Darkness,Douglas Preston,30766,3.96,9823,The Wheel of Darkness - Douglas Preston
6424,Way Station,Clifford D. Simak,27534,4.03,9822,Way Station - Clifford D. Simak
6425,My Sweet Audrina,V.C. Andrews,28150,3.87,9811,My Sweet Audrina - V.C. Andrews
6426,Kim,Rudyard Kipling,37805,3.70,9810,Kim - Rudyard Kipling
6427,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,40728,3.71,9805,It's Not About the Bike: My Journey Back to Life - Lance Armstrong
6428,Una historia de ayer,Sergio Cobo,13164,4.60,9800,Una historia de ayer - Sergio Cobo
6429,La ciudad y los perros,Mario Vargas Llosa,23232,4.17,9796,La ciudad y los perros - Mario Vargas Llosa
6430,Inés of My Soul,Isabel Allende,29801,3.98,9795,Inés of My Soul - Isabel Allende
6431,A Story of Yesterday,Sergio Cobo,13158,4.60,9795,A Story of Yesterday - Sergio Cobo
6432,The Ship Who Sang,Anne McCaffrey,25752,4.03,9795,The Ship Who Sang - Anne McCaffrey
6433,The Uplift War,David Brin,26665,4.07,9794,The Uplift War - David Brin
6434,Cities of the Plain,Cormac McCarthy,27234,4.12,9789,Cities of the Plain - Cormac McCarthy
6435,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,29159,3.92,9786,A Whole New Mind: Why Right-Brainers Will Rule the Future - Daniel H. Pink
6436,Erebos,Ursula Poznanski,24470,4.09,9786,Erebos - Ursula Poznanski
6437,Democracy in America,Alexis de Tocqueville,25761,4.04,9782,Democracy in America - Alexis de Tocqueville
6438,The Last Time We Say Goodbye,Cynthia Hand,25906,4.08,9781,The Last Time We Say Goodbye - Cynthia Hand
6439,The Folk of the Faraway Tree,Enid Blyton,17660,4.33,9779,The Folk of the Faraway Tree - Enid Blyton
6440,Never Let You Go,Chevy Stevens,33677,3.98,9775,Never Let You Go - Chevy Stevens
6441,The Cherry Orchard,Anton Chekhov,40605,3.69,9772,The Cherry Orchard - Anton Chekhov
6442,Midnight,L.J. Smith,27716,3.76,9767,Midnight - L.J. Smith
6443,A Reliable Wife,Robert Goolrick,79164,3.27,9766,A Reliable Wife - Robert Goolrick
6444,HHhH,Laurent Binet,25632,4.07,9766,HHhH - Laurent Binet
6445,Debt of Bones,Terry Goodkind,30599,3.87,9757,Debt of Bones - Terry Goodkind
6446,100 Love Sonnets,Pablo Neruda,17602,4.36,9752,100 Love Sonnets - Pablo Neruda
6447,The Extraordinary Education of Nicholas Benedict,Trenton Lee Stewart,18211,4.36,9751,The Extraordinary Education of Nicholas Benedict - Trenton Lee Stewart
6448,The Passion,Jeanette Winterson,23950,4.11,9747,The Passion - Jeanette Winterson
6449,Blubber,Judy Blume,35819,3.79,9746,Blubber - Judy Blume
6450,Living Dead Girl,Elizabeth Scott,32341,3.78,9743,Living Dead Girl - Elizabeth Scott
6451,Living Dead Girl,Elizabeth Scott,32344,3.78,9743,Living Dead Girl - Elizabeth Scott
6452,The Shadow of the Torturer,Gene Wolfe,29619,3.83,9739,The Shadow of the Torturer - Gene Wolfe
6453,Dragon Wing,Margaret Weis,28467,3.97,9738,Dragon Wing - Margaret Weis
6454,The Breadwinner,Deborah Ellis,28534,4.00,9738,The Breadwinner - Deborah Ellis
6455,Committed: A Skeptic Makes Peace with Marriage,Elizabeth Gilbert,54839,3.44,9738,Committed: A Skeptic Makes Peace with Marriage - Elizabeth Gilbert
6456,The Future of Us,Jay Asher,47593,3.56,9737,The Future of Us - Jay Asher
6457,The Woman in the Library,Sulari Gentill,68313,3.51,9737,The Woman in the Library - Sulari Gentill
6458,The Shining Girls,Lauren Beukes,51327,3.54,9735,The Shining Girls - Lauren Beukes
6459,The Bridge of San Luis Rey,Thornton Wilder,35285,3.79,9728,The Bridge of San Luis Rey - Thornton Wilder
6460,Ensnared,A.G. Howard,20635,4.17,9725,Ensnared - A.G. Howard
6461,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,20869,4.24,9716,Manufacturing Consent: The Political Economy of the Mass Media - Edward S. Herman
6462,The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,19757,4.23,9714,The Places That Scare You: A Guide to Fearlessness in Difficult Times - Pema Chödrön
6463,Chasm City,Alastair Reynolds,25337,4.13,9712,Chasm City - Alastair Reynolds
6464,A Young Doctor's Notebook,Mikhail Bulgakov,21067,4.29,9705,A Young Doctor's Notebook - Mikhail Bulgakov
6465,Five Quarters of the Orange,Joanne Harris,36909,3.87,9705,Five Quarters of the Orange - Joanne Harris
6466,Death at La Fenice,Donna Leon,37510,3.88,9703,Death at La Fenice - Donna Leon
6467,A Girl of the Limberlost,Gene Stratton-Porter,21369,4.16,9696,A Girl of the Limberlost - Gene Stratton-Porter
6468,Love Bites,Ellen Schreiber,19664,4.13,9696,Love Bites - Ellen Schreiber
6469,The Lust Lizard of Melancholy Cove,Christopher Moore,35106,3.88,9688,The Lust Lizard of Melancholy Cove - Christopher Moore
6470,"The History of Tom Jones, a Foundling",Henry Fielding,33399,3.75,9688,"The History of Tom Jones, a Foundling - Henry Fielding"
6471,Summer of Night,Dan Simmons,25912,4.04,9686,Summer of Night - Dan Simmons
6472,Living History,Hillary Rodham Clinton,33658,3.76,9677,Living History - Hillary Rodham Clinton
6473,Dangerous Girls,Abigail Haas,24303,4.08,9677,Dangerous Girls - Abigail Haas
6474,Subterranean,James Rollins,26462,4.02,9675,Subterranean - James Rollins
6475,A Work in Progress,Connor Franta,19631,4.15,9673,A Work in Progress - Connor Franta
6476,Big Sur,Jack Kerouac,34966,3.84,9669,Big Sur - Jack Kerouac
6477,The Memoirs of Cleopatra,Margaret George,20816,4.19,9662,The Memoirs of Cleopatra - Margaret George
6478,Hold Still,Nina LaCour,26753,4.00,9656,Hold Still - Nina LaCour
6479,The Paul Street Boys,Ferenc Molnár,21248,4.17,9653,The Paul Street Boys - Ferenc Molnár
6480,Bad Romeo,Leisa Rayven,25340,3.98,9653,Bad Romeo - Leisa Rayven
6481,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,28755,3.92,9652,The Lonely City: Adventures in the Art of Being Alone - Olivia Laing
6482,Epic Fail,Claire LaZebnik,33998,3.72,9652,Epic Fail - Claire LaZebnik
6483,The Complete Works of H.P. Lovecraft,H.P. Lovecraft,17943,4.35,9652,The Complete Works of H.P. Lovecraft - H.P. Lovecraft
6484,"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,21409,4.21,9652,"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos - Michio Kaku"
6485,Becoming Free Indeed: My Story of Disentangling Faith from Fear,Jinger Duggar Vuolo,38856,3.60,9651,Becoming Free Indeed: My Story of Disentangling Faith from Fear - Jinger Duggar Vuolo
6486,Tales from Earthsea,Ursula K. Le Guin,27593,4.08,9645,Tales from Earthsea - Ursula K. Le Guin
6487,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,26193,4.09,9644,The Lone Ranger and Tonto Fistfight in Heaven - Sherman Alexie
6488,Everything That Rises Must Converge: Stories,Flannery O'Connor,20701,4.23,9642,Everything That Rises Must Converge: Stories - Flannery O'Connor
6489,Perfect,Cecelia Ahern,22018,4.19,9635,Perfect - Cecelia Ahern
6490,The Bronze Bow,Elizabeth George Speare,25148,4.01,9635,The Bronze Bow - Elizabeth George Speare
6491,天官赐福 [Tiān Guān Cì Fú],Mò Xiāng Tóng Xiù,11953,4.74,9626,天官赐福 [Tiān Guān Cì Fú] - Mò Xiāng Tóng Xiù
6492,Heaven Official’s Blessing [天官赐福],Mò Xiāng Tóng Xiù,11953,4.74,9626,Heaven Official’s Blessing [天官赐福] - Mò Xiāng Tóng Xiù
6493,Nothing Lasts Forever,Sidney Sheldon,33211,3.87,9623,Nothing Lasts Forever - Sidney Sheldon
6494,The Demon in the Wood,Leigh Bardugo,33397,3.92,9620,The Demon in the Wood - Leigh Bardugo
6495,In the Company of Cheerful Ladies,Alexander McCall Smith,29633,4.09,9619,In the Company of Cheerful Ladies - Alexander McCall Smith
6496,Hunger Makes Me a Modern Girl,Carrie Brownstein,35211,3.83,9618,Hunger Makes Me a Modern Girl - Carrie Brownstein
6497,The Short Victorious War,David Weber,23569,4.18,9610,The Short Victorious War - David Weber
6498,Curtsies & Conspiracies,Gail Carriger,26886,4.13,9608,Curtsies & Conspiracies - Gail Carriger
6499,Palace of Treason,Jason  Matthews,22981,4.20,9606,Palace of Treason - Jason  Matthews
6500,A Conspiracy of Kings,Megan Whalen Turner,26936,4.10,9603,A Conspiracy of Kings - Megan Whalen Turner
6501,The Last Seven Months of Anne Frank,Willy Lindwer,17238,4.34,9599,The Last Seven Months of Anne Frank - Willy Lindwer
6502,The Last Hope,Erin Hunter,13750,4.56,9584,The Last Hope - Erin Hunter
6503,Wolf by Wolf,Ryan Graudin,22281,4.20,9579,Wolf by Wolf - Ryan Graudin
6504,Cloudstreet,Tim Winton,25487,4.01,9576,Cloudstreet - Tim Winton
6505,The Cheerleaders,Kara Thomas,44022,3.76,9574,The Cheerleaders - Kara Thomas
6506,Parce que je t'aime,Guillaume Musso,24222,4.07,9573,Parce que je t'aime - Guillaume Musso
6507,Our Man in Havana,Graham Greene,36315,3.94,9568,Our Man in Havana - Graham Greene
6508,I Wrote This For You,pleasefindthis,20377,4.09,9566,I Wrote This For You - pleasefindthis
6509,The Moon and Sixpence,W. Somerset Maugham,24386,4.13,9564,The Moon and Sixpence - W. Somerset Maugham
6510,The Angel of Darkness,Caleb Carr,29810,3.99,9563,The Angel of Darkness - Caleb Carr
6511,Safe Harbour,Danielle Steel,22695,4.08,9553,Safe Harbour - Danielle Steel
6512,Merle's Door: Lessons from a Freethinking Dog,Ted Kerasote,19468,4.21,9550,Merle's Door: Lessons from a Freethinking Dog - Ted Kerasote
6513,Bloodline,Sidney Sheldon,33785,3.86,9547,Bloodline - Sidney Sheldon
6514,Damned,Chuck Palahniuk,55062,3.40,9547,Damned - Chuck Palahniuk
6515,Ticktock,Dean Koontz,34632,3.75,9543,Ticktock - Dean Koontz
6516,Tick Tock,Dean Koontz,34632,3.75,9543,Tick Tock - Dean Koontz
6517,The Third Twin,Ken Follett,36090,3.80,9540,The Third Twin - Ken Follett
6518,The Collected Poems,Langston Hughes,17786,4.36,9539,The Collected Poems - Langston Hughes
6519,Deliverance,James Dickey,32634,3.89,9538,Deliverance - James Dickey
6520,Black Dawn,Rachel Caine,19856,4.24,9533,Black Dawn - Rachel Caine
6521,As the Crow Flies,Jeffrey Archer,23643,4.14,9531,As the Crow Flies - Jeffrey Archer
6522,The Last Templar,Raymond Khoury,44639,3.62,9531,The Last Templar - Raymond Khoury
6523,Aru Shah and the End of Time,Roshani Chokshi,25466,4.10,9529,Aru Shah and the End of Time - Roshani Chokshi
6524,Icy Sparks,Gwyn Hyman Rubio,42309,3.70,9520,Icy Sparks - Gwyn Hyman Rubio
6525,1Q84 #1-2,Haruki Murakami,24552,4.09,9512,1Q84 #1-2 - Haruki Murakami
6526,The Insulted and Humiliated,Fyodor Dostoyevsky,20589,4.24,9511,The Insulted and Humiliated - Fyodor Dostoyevsky
6527,The Land of Painted Caves,Jean M. Auel,34315,3.42,9494,The Land of Painted Caves - Jean M. Auel
6528,Headhunters,Jo Nesbø,37225,3.80,9492,Headhunters - Jo Nesbø
6529,The Tail of Emily Windsnap,Liz Kessler,27034,3.93,9492,The Tail of Emily Windsnap - Liz Kessler
6530,Grave Secret,Charlaine Harris,30169,3.97,9489,Grave Secret - Charlaine Harris
6531,Defiance,Lili St. Crow,20111,4.18,9489,Defiance - Lili St. Crow
6532,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,23692,4.13,9487,The Wonderful Story of Henry Sugar and Six More - Roald Dahl
6533,The Woman in the Dunes,Kōbō Abe,33217,3.89,9485,The Woman in the Dunes - Kōbō Abe
6534,Scent of Magic,Maria V. Snyder,24125,4.12,9482,Scent of Magic - Maria V. Snyder
6535,Kon-Tiki,Thor Heyerdahl,23362,4.15,9479,Kon-Tiki - Thor Heyerdahl
6536,The Puppet Masters,Robert A. Heinlein,32940,3.89,9475,The Puppet Masters - Robert A. Heinlein
6537,Mariel of Redwall,Brian Jacques,28584,4.00,9471,Mariel of Redwall - Brian Jacques
6538,September,Rosamunde Pilcher,22709,4.16,9471,September - Rosamunde Pilcher
6539,Angels,Marian Keyes,36988,3.76,9470,Angels - Marian Keyes
6540,No Logo,Naomi Klein,31413,3.88,9469,No Logo - Naomi Klein
6541,Alcatraz Versus the Evil Librarians,Brandon Sanderson,31025,3.91,9464,Alcatraz Versus the Evil Librarians - Brandon Sanderson
6542,The Killer Collective,Barry Eisler,25755,4.03,9462,The Killer Collective - Barry Eisler
6543,The Clique,Lisi Harrison,32406,3.60,9457,The Clique - Lisi Harrison
6544,Just Ella,Margaret Peterson Haddix,34556,3.75,9441,Just Ella - Margaret Peterson Haddix
6545,Just Ella,Margaret Peterson Haddix,34552,3.75,9439,Just Ella - Margaret Peterson Haddix
6546,Shirley,Charlotte Brontë,34780,3.76,9437,Shirley - Charlotte Brontë
6547,The Forever Song,Julie Kagawa,20854,4.17,9436,The Forever Song - Julie Kagawa
6548,Inkheart / Inkspell / Inkdeath,Cornelia Funke,19253,4.21,9436,Inkheart / Inkspell / Inkdeath - Cornelia Funke
6549,The Power That Preserves,Stephen R. Donaldson,24883,4.03,9434,The Power That Preserves - Stephen R. Donaldson
6550,City of Golden Shadow,Tad Williams,27735,3.93,9432,City of Golden Shadow - Tad Williams
6551,The Rapture of Canaan,Sheri Reynolds,34549,3.83,9420,The Rapture of Canaan - Sheri Reynolds
6552,We3,Grant Morrison,24909,3.91,9415,We3 - Grant Morrison
6553,All the Birds in the Sky,Charlie Jane Anders,46349,3.59,9412,All the Birds in the Sky - Charlie Jane Anders
6554,Waterfall,Lisa Tawn Bergren,22161,4.02,9411,Waterfall - Lisa Tawn Bergren
6555,Twelfth Grade Kills,Heather Brewer,16641,4.33,9409,Twelfth Grade Kills - Heather Brewer
6556,Lethal Rider,Larissa Ione,17132,4.37,9406,Lethal Rider - Larissa Ione
6557,The Door Into Summer,Robert A. Heinlein,26657,4.02,9406,The Door Into Summer - Robert A. Heinlein
6558,Last Stand of Dead Men,Derek Landy,14043,4.57,9405,Last Stand of Dead Men - Derek Landy
6559,The Given Day,Dennis Lehane,26709,4.06,9402,The Given Day - Dennis Lehane
6560,Robopocalypse,Daniel H. Wilson,39773,3.70,9402,Robopocalypse - Daniel H. Wilson
6561,The Bear and the Dragon,Tom Clancy,29759,3.90,9399,The Bear and the Dragon - Tom Clancy
6562,Rose Under Fire,Elizabeth Wein,22779,4.13,9399,Rose Under Fire - Elizabeth Wein
6563,Cemetery Dance,Douglas Preston,28513,4.03,9398,Cemetery Dance - Douglas Preston
6564,There's a Boy in the Girls' Bathroom,Louis Sachar,23814,4.01,9397,There's a Boy in the Girls' Bathroom - Louis Sachar
6565,The Enchanted April,Elizabeth von Arnim,31375,3.91,9397,The Enchanted April - Elizabeth von Arnim
6566,The Penderwicks at Point Mouette,Jeanne Birdsall,17731,4.36,9392,The Penderwicks at Point Mouette - Jeanne Birdsall
6567,Dispatches,Michael Herr,19963,4.22,9391,Dispatches - Michael Herr
6568,This Boy's Life,Tobias Wolff,29331,3.96,9388,This Boy's Life - Tobias Wolff
6569,Flyboys: A True Story of Courage,James D. Bradley,21875,4.19,9387,Flyboys: A True Story of Courage - James D. Bradley
6570,Girl of Nightmares,Kendare Blake,31670,3.84,9379,Girl of Nightmares - Kendare Blake
6571,Off the Grid,C.J. Box,20018,4.29,9377,Off the Grid - C.J. Box
6572,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,Henry Hazlitt,19822,4.17,9370,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics - Henry Hazlitt
6573,Atlantis Found,Clive Cussler,28081,4.02,9369,Atlantis Found - Clive Cussler
6574,Atlantis Found,Clive Cussler,28084,4.02,9369,Atlantis Found - Clive Cussler
6575,Double Indemnity,James M. Cain,26342,4.06,9364,Double Indemnity - James M. Cain
6576,The Miracle of Forgiveness,Spencer W. Kimball,15548,4.33,9362,The Miracle of Forgiveness - Spencer W. Kimball
6577,Ash,Malinda Lo,36333,3.63,9358,Ash - Malinda Lo
6578,رجال في الشمس,Ghassan Kanafani,21353,4.20,9354,رجال في الشمس - Ghassan Kanafani
6579,I Fell in Love With Hope,Lancali,21913,3.92,9352,I Fell in Love With Hope - Lancali
6580,Lord of the Fading Lands,C.L. Wilson,23870,3.98,9351,Lord of the Fading Lands - C.L. Wilson
6581,Holy Bible: New Living Translation,Anonymous,11399,4.69,9345,Holy Bible: New Living Translation - Anonymous
6582,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,24845,3.98,9345,How to Read a Book: The Classic Guide to Intelligent Reading - Mortimer J. Adler
6583,The Covenant,James A. Michener,21130,4.21,9342,The Covenant - James A. Michener
6584,Icefire,Chris d'Lacey,25370,3.92,9334,Icefire - Chris d'Lacey
6585,Until You,Judith McNaught,22395,4.12,9327,Until You - Judith McNaught
6586,"Preacher, Volume 8: All Hell's a-Coming",Garth Ennis,17292,4.34,9323,"Preacher, Volume 8: All Hell's a-Coming - Garth Ennis"
6587,Out Stealing Horses,Per Petterson,35443,3.81,9323,Out Stealing Horses - Per Petterson
6588,A Lady's Guide to Fortune-Hunting,Sophie Irwin,36042,3.92,9320,A Lady's Guide to Fortune-Hunting - Sophie Irwin
6589,Caim,José Saramago,29223,3.97,9318,Caim - José Saramago
6590,Field of Dishonor,David Weber,21327,4.22,9314,Field of Dishonor - David Weber
6591,Lullabies for Little Criminals,Heather O'Neill,26686,4.03,9313,Lullabies for Little Criminals - Heather O'Neill
6592,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,29601,3.93,9312,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time - Douglas Adams
6593,The Whalebone Theatre,Joanna   Quinn,25914,4.07,9308,The Whalebone Theatre - Joanna   Quinn
6594,The Definitive Book of Body Language,Allan Pease,27096,3.96,9305,The Definitive Book of Body Language - Allan Pease
6595,Lit,Mary Karr,27472,3.94,9303,Lit - Mary Karr
6596,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,23849,4.06,9301,Stolen Lives: Twenty Years in a Desert Jail - Malika Oufkir
6597,Stolen Innocence,Elissa Wall,30165,3.94,9300,Stolen Innocence - Elissa Wall
6598,When It Rains,Lisa De Jong,17935,4.22,9298,When It Rains - Lisa De Jong
6599,Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,20171,4.24,9298,Long Walk: The True Story of a Trek to Freedom - Slavomir Rawicz
6600,Kushiel's Justice,Jacqueline Carey,19309,4.27,9298,Kushiel's Justice - Jacqueline Carey
6601,All Around the Town,Mary Higgins Clark,28165,3.98,9288,All Around the Town - Mary Higgins Clark
6602,The Peripheral,William Gibson,30313,3.90,9285,The Peripheral - William Gibson
6603,The Bone People,Keri Hulme,22638,4.04,9283,The Bone People - Keri Hulme
6604,The Pout-Pout Fish,Deborah Diesen,15926,4.34,9281,The Pout-Pout Fish - Deborah Diesen
6605,The 3 Mistakes of My Life,Chetan Bhagat,76309,3.06,9279,The 3 Mistakes of My Life - Chetan Bhagat
6606,Run,Ann Patchett,50524,3.65,9274,Run - Ann Patchett
6607,The Brothers K,David James Duncan,15955,4.39,9273,The Brothers K - David James Duncan
6608,Break No Bones,Kathy Reichs,30587,3.98,9260,Break No Bones - Kathy Reichs
6609,Antony and Cleopatra,William Shakespeare,39771,3.70,9260,Antony and Cleopatra - William Shakespeare
6610,Butcher's Crossing,John  Williams,24034,4.17,9258,Butcher's Crossing - John  Williams
6611,"Blind Willow, Sleeping Woman",Haruki Murakami,39831,3.84,9253,"Blind Willow, Sleeping Woman - Haruki Murakami"
6612,Have Space Suit—Will Travel,Robert A. Heinlein,30255,3.92,9253,Have Space Suit—Will Travel - Robert A. Heinlein
6613,Confessions of a Mask,Yukio Mishima,30891,3.95,9252,Confessions of a Mask - Yukio Mishima
6614,Seven Years in Tibet,Heinrich Harrer,24527,4.10,9245,Seven Years in Tibet - Heinrich Harrer
6615,The Sword of Shannara Trilogy,Terry Brooks,24128,3.97,9243,The Sword of Shannara Trilogy - Terry Brooks
6616,Fortune's Rocks,Anita Shreve,30992,3.90,9239,Fortune's Rocks - Anita Shreve
6617,Once Upon a Marigold,Jean Ferris,24709,4.01,9236,Once Upon a Marigold - Jean Ferris
6618,The Elephant Tree,R.D. Ronald,27052,3.69,9235,The Elephant Tree - R.D. Ronald
6619,India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,17207,4.39,9230,India After Gandhi: The History of the World's Largest Democracy - Ramachandra Guha
6620,Bestiario,Julio Cortázar,20733,4.21,9228,Bestiario - Julio Cortázar
6621,The Pickwick Papers,Charles Dickens,29868,3.85,9225,The Pickwick Papers - Charles Dickens
6622,The Fountains of Paradise,Arthur C. Clarke,30063,3.95,9224,The Fountains of Paradise - Arthur C. Clarke
6623,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,16638,4.38,9224,Bloodlands: Europe Between Hitler and Stalin - Timothy Snyder
6624,Wish,Barbara O'Connor,17672,4.33,9221,Wish - Barbara O'Connor
6625,The Lightning-Struck Heart,T.J. Klune,15311,4.39,9213,The Lightning-Struck Heart - T.J. Klune
6626,The Sicilian,Mario Puzo,27017,4.02,9208,The Sicilian - Mario Puzo
6627,Three Act Tragedy,Agatha Christie,39649,3.84,9202,Three Act Tragedy - Agatha Christie
6628,Kushiel's Mercy,Jacqueline Carey,17765,4.33,9194,Kushiel's Mercy - Jacqueline Carey
6629,Mariana,Susanna Kearsley,25244,4.08,9193,Mariana - Susanna Kearsley
6630,Dreams Made Flesh,Anne Bishop,17384,4.34,9191,Dreams Made Flesh - Anne Bishop
6631,Devil's Bride,Stephanie Laurens,22377,4.07,9187,Devil's Bride - Stephanie Laurens
6632,Love Medicine,Louise Erdrich,26738,4.01,9183,Love Medicine - Louise Erdrich
6633,QED: The Strange Theory of Light and Matter,Richard P. Feynman,18400,4.26,9183,QED: The Strange Theory of Light and Matter - Richard P. Feynman
6634,The Magician's Assistant,Ann Patchett,44597,3.72,9180,The Magician's Assistant - Ann Patchett
6635,Kira-Kira,Cynthia Kadohata,26870,3.96,9180,Kira-Kira - Cynthia Kadohata
6636,How to Fall in Love,Cecelia Ahern,26257,4.00,9179,How to Fall in Love - Cecelia Ahern
6637,Child of the Prophecy,Juliet Marillier,23140,4.12,9176,Child of the Prophecy - Juliet Marillier
