,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
98,The Song of Achilles,Madeline Miller,1508157,4.33,822140,The Song of Achilles - Madeline Miller
99,Ugly Love,Colleen Hoover,1848445,4.05,810882,Ugly Love - Colleen Hoover
100,Ugly Love,Colleen Hoover,1846852,4.05,810350,Ugly Love - Colleen Hoover
101,Me Before You,Jojo Moyes,1637638,4.26,806742,Me Before You - Jojo Moyes
102,Lord of the Flies,William Golding,2916989,3.69,799837,Lord of the Flies - William Golding
103,Where the Sidewalk Ends,Shel Silverstein,1408859,4.34,796903,Where the Sidewalk Ends - Shel Silverstein
104,Romeo and Juliet,William Shakespeare,2616867,3.74,775456,Romeo and Juliet - William Shakespeare
105,The Shining,Stephen King,1498128,4.27,759306,The Shining - Stephen King
106,The Lovely Bones,Alice Sebold,2360039,3.85,754569,The Lovely Bones - Alice Sebold
107,Ender’s Game,Orson Scott Card,1379373,4.31,740181,Ender’s Game - Orson Scott Card
108,A ​Court of Silver Flames,Sarah J. Maas,1149305,4.47,716824,A ​Court of Silver Flames - Sarah J. Maas
109,Dune,Frank Herbert,1379466,4.27,715141,Dune - Frank Herbert
110,The Time Traveler’s Wife,Audrey Niffenegger,1789294,3.99,707658,The Time Traveler’s Wife - Audrey Niffenegger
111,The Giving Tree,Shel Silverstein,1131909,4.38,706669,The Giving Tree - Shel Silverstein
112,Eragon,Christopher Paolini,1785086,3.95,702610,Eragon - Christopher Paolini
113,Night,Elie Wiesel,1250839,4.37,700215,Night - Elie Wiesel
114,Reminders of Him,Colleen Hoover,1220133,4.38,696965,Reminders of Him - Colleen Hoover
115,The Selection,Kiera Cass,1563695,4.08,691547,The Selection - Kiera Cass
116,Throne of Glass,Sarah J. Maas,1532492,4.18,689262,Throne of Glass - Sarah J. Maas
117,Throne of Glass,Sarah J. Maas,1530717,4.18,688570,Throne of Glass - Sarah J. Maas
118,Throne of Glass,Sarah J. Maas,1530279,4.18,688407,Throne of Glass - Sarah J. Maas
