,Number of Pages,Average Rating
235,291,3.931081
236,255,3.825333
237,496,4.044474
238,189,3.720000
239,891,3.905000
240,731,4.115000
241,769,3.795000
242,563,4.031111
243,311,3.917667
244,159,4.064783
245,639,4.328000
246,205,3.945294
247,302,4.026176
248,404,4.088810
249,640,4.011923
250,198,3.809091
251,165,4.004167
252,948,4.590000
253,305,3.849149
254,260,3.971739
255,542,3.984444
256,158,3.936429
257,455,4.095000
258,601,4.250000
259,635,4.001429
260,637,4.145714
261,344,4.071778
262,483,4.159500
263,482,4.013077
264,650,4.264000
265,576,4.077209
266,1064,4.160000
267,714,4.223333
268,354,3.916970
269,184,4.065217
270,461,4.099444
271,98,4.008000
272,188,3.834167
273,495,4.008571
274,185,3.921111
275,467,3.992667
276,26,2.813333
277,475,4.033000
278,401,3.990417
279,960,4.298571
280,725,4.052000
281,976,4.337500
282,432,3.994109
283,1237,4.310000
284,296,3.999500
285,1050,4.053333
286,463,3.879474
287,845,3.925000
288,201,4.046842
289,187,4.111875
290,522,4.133000
291,376,3.970000
292,672,4.166087
293,328,3.910851
294,648,3.853333
295,454,4.081053
296,603,4.143333
297,99,3.966667
298,1270,4.480000
299,78,3.870000
300,214,3.971471
301,266,4.021923
302,278,3.939808
303,229,3.836071
304,533,4.181667
305,419,4.046522
306,632,3.850000
307,947,4.340000
308,1258,4.310000
309,972,4.000000
310,594,4.072857
311,373,3.986216
312,400,3.986303
313,340,3.911463
314,896,4.155000
315,1313,4.460000
316,162,3.969286
317,439,4.142941
318,1552,4.520000
319,138,4.049231
320,680,4.180000
321,733,4.280000
322,548,4.012000
323,560,4.103095
324,210,4.062000
325,867,4.090000
326,623,4.176667
327,366,4.075600
328,60,4.178889
329,1040,4.338333
330,488,4.078500
331,316,4.046154
332,1020,4.450000
333,170,4.085833
334,453,4.006818
335,166,3.930556
336,1144,4.310000
337,156,3.811875
338,56,4.031538
339,199,3.910500
340,32,4.199870
341,520,4.045882
342,243,3.980000
343,250,3.939231
344,223,4.031176
345,237,3.930000
346,141,3.916667
347,175,4.016154
348,163,3.813846
349,313,3.970714
350,337,3.991579
351,356,3.988302
352,378,4.069333
353,798,3.855000
354,67,3.901429
355,209,3.929167
356,204,3.852143
357,353,4.012258
358,343,3.962414
359,1088,4.237500
360,426,4.096154
361,1016,4.463333
362,474,4.057273
363,227,3.881250
364,1182,3.730000
365,213,3.807083
366,235,3.889375
367,610,4.271667
368,396,3.928571
369,1276,4.300000
370,671,4.192500
371,625,4.178333
372,362,4.026000
373,848,4.066667
374,800,4.156364
375,106,4.130000
376,546,4.093333
377,359,3.970303
378,122,3.587000
379,752,4.061538
380,399,3.901000
381,300,3.913571
382,82,3.958571
383,80,3.758889
384,668,4.055000
